"txtDepartment";"txtCategory";"boxQuestion";"boxAnswer"
"Public Works";"Roads/Streets";"What is the harm of installing an unwarranted traffic sign?";"Traffic control devices which include signs, such as stop signs, speed limit signs, animal crossing warning signs and curve warning signs as well as signals and pavement markings, are installed to regulate traffic flow and improve safety.  The installation of these traffic control devices should be based on National guidelines; the Manual of Uniform Traffic Control Devices, (MUTCD) gives Traffic Engineers the uniform standards to safely assist motorists as they travel.  It defines a series of uniform traffic control devices (signals, signs and pavement markings) which are clear in their messages as applied on the nationâ€™s roadway system.  
	To ensure that the motoring public maintains a healthy respect for traffic control devices, traffic engineers must use them prudently and thereby maximize the safety and efficiency of our streets and highways.  It is important to apply traffic control devices consistently, maintaining uniformity in size, shape, color and location so that they command respect and deliver a clear message
"
"Public Works";"Roads/Streets";"How can I request a change of address?";"If you have a problem with the physical address of your property, first determine which government agency handles your address.
If you are in the city limits of Reno, contact the City of Reno at 334-3894
If you are in the city limits of Sparks, contact the City of Sparks at 353-1521
If you are in the unincorporated area of Washoe County, contact Washoe County Public Works Department at 328-2040
"
"Public Works";"Roads/Streets";"What is Washoe County`s policy regarding gates within a public roadway?";"1. If the easement is a private road (i.e. privately maintained, private access) then gating and locking is a private issue and is no concern of Washoe County, except if a road is a presumed public access under NRS 405.191 and NRS 405.195 and further deemed to be by the Washoe County Board of Commissioners. 

2. If the access is created on a map and is a privately maintained public access, then no gates will be allowed provided the map was approved with the access and without gating.

3. If the road is presumed public access (as determined by the Washoe County Board of Commissioner) under NRS 405.191 and NRS 405.195, access can be gated but not locked and must have a sign posted stating â€œPublic Access.â€

4. Access issues concerning access on private property and identified as public access are not considered to be a County issue and should be treated as a civil matter.

5. If a road easement does not specify it is a private road easement, then it is presumed to be public access, both privately owned and privately maintained.

"
"Public Works";"Roads/Streets";"Can I put a gate across a roadway?";"1. If the roadway is on your private property with no easement: Yes

2. If the roadway is on a private access easement: Yes, with the permission of everyone that has rights to the easement.

3. If the roadway was created by a map and recorded (i.e. subdivision, parcel or land) and dedicated to the County for maintenance: No

4. If the road is presumed public access (as determined under NRS 405.191 and NRS 405.195 and by the Washoe County Board of Commissioners): Yes, access can be gated but not locked and must have a sign posted stating â€œPublic Access.â€
In all cases, you should consult with your title company or the Washoe County Public Works, Engineering Division to determine if you have a road easement and if it is a public or a private road.
"
"Public Works";"Roads/Streets";"How do I get speed humps installed in my neighborhood?
";"The County has installed speed humps on County roads that are not Primary Emergency Vehicle Routes (PEVR).   County policy for installing speed humps is available  on the County web site at http://www.washoecounty.us/repository/files/7/speed_hump_policy1.pdf .  You can call the Engineering Division at 328-2041 to determine if the street is a PEVR; if it isnâ€™t the County will send you a petition form and a  map of the area from which to collect signatures"
"Public Works";"Roads/Streets";"Wonâ€™t a â€˜Stop Signâ€™ slow traffic on our street?";"Stop signs installed in the wrong places for the wrong purposes usually create more problems than they solve.  One common misuse of stop signs is to arbitrarily interrupt traffic by causing it to stop with the idea that traffic speeds will be slowed down.  Studies made in many parts of the country show that there is a high incidence of intentional violations where stop signs are installed as â€œspeed breakersâ€.  These studies showed that speed was reduced in the vicinity of the stop sign, but speeds were actually higher between intersections than they would have been if these signs hadnâ€™t been installed.  
At the right place and under the right conditions, a stop sign tells drivers and pedestrians who has the right of way.  Nationally recognized standards have been established to determine when stop signs should be used.  These standards, or â€˜warrantsâ€™ take into consideration traffic speed, volume, sight distance and the frequency of traffic â€œgapsâ€ which will allow safe vehicle entry or pedestrian crossing.  
	Most drivers are reasonable and prudent, but when confronted with unreasonable restrictions, they frequently violate them and develop a general contempt for all traffic controls
"
"Public Works";"Roads/Streets";"How do I report a malfunctioning or non-operating Traffic Signal?";"If you find a Traffic Signal that is not working or is malfunctioning, call 335-7623(335-ROAD) and leave a message providing the intersection. The information will be forwarded to the appropriate agency for repair. 
Or for Traffic Signal maintenance issues in the unincorporated County, please call Reno Direct at 334-2099 M-F 7am to 4pm or 772-3151 for all other times.
For Traffic Signal timing issues in the unincorporated County please call 328-3603"
"Public Works";"Roads/Streets";"Can I erect a fence within an access easement?";"No. Washoe County does not allow the construction of a fence within an access easement either public or private.

<a href=\"/repository/files/7/invalid_fence.pdf\" target=\"_blank\" title=\"Invalid Fence Illustration\">Invalid Fence</a>"
"Public Works";"Roads/Streets";"Who is responsible for maintaining Sky Tavern Road";"The Mt. Rose Bowl Subdivision No. 1, Tract Map No. 280 was recorded August 5, 1944. The roadways were set apart on the map but they were not improved, they were not dedicated to, nor were they ever accepted by Washoe County. The law at the time was 5063.23 (which later became NRS 278.380). The statutes stated that the Board of County Commissioners â€œaccept or reject any and all offers of dedicationâ€. Since there was no offer of dedication made when the map was recorded and there has not been a subsequent offer of dedication, the County does not have ownership of the roadway. Since the County does not own the road, the County has no duty to maintain it. Sky Tavern Road has also been thoroughly reviewed by Washoe County and it has been determined that the roadway does not meet Washoe County street standards. Sky Tavern Road appears to be a â€œpublic accessâ€ road that is privately owned and maintained in accordance with NRS 405.191. The roadways maintained in this area are portions of the Old Mt. Rose Hwy that were relinquished to Washoe County from the State of Nevada, Department of Highways January 20, 1961.

<a href=\"/repository/files/7/sky_tavern.pdf\" target=\"_blank\" title=\"Sky Tavern Rd\">Sky Tavern Rd</a>
"
"Public Works";"Surveying";"Where can I find the GPS Control Points/Survey Control Points?";"The GPS Survey Control map can be located
in the Public Works/Regional Mapping webpage.  The website address is: http://wcgisweb.washoecounty.us/website/Map%5FWarehouse/survey_viewer.htm"
"Purchasing";NULL;"How do I get on the County`s Bid List?";"Print and complete Bidder`s Application located on the website and mail or fax to the Purchasing Department."
"Reno Justice Court";"Citations";"I`m supposed to appear at 8:15 a.m. on Wednesday, but I can`t make it until the afternoon session. Is that a problem? ";"No. You can appear at either session on your scheduled court date."
"Reno Justice Court";"Citations";"I just want to pay my fine, I don`t  want to appear in court, but I can`t  pay until a later date.  ";"There is an automatic 10 day grace period from the court date for people who want to pay their fine but need more time AND who have not appeared before the Judge on this citation."
"Reno Justice Court";"Citations";"I was cited for \"no proof of insurance\".  I had insurance but it just wasn`t in the vehicle when I was stopped.  Do I have to wait until my court date to show my proof of insurance? 

";"No. You can bring an original proof of insurance card to the court at any time before your court date. However, there is a $30.00 processing fee for failing to have the proper documents in the vehicle to present to the officer."
"Reno Justice Court";"Citations";"I was cited for more than one violation, e.g., speeding and \"no proof of insurance\" I had insurance but it just wasn`t in the vehicle when I was stopped.  Do I have to wait until my court date to show my proof of insurance?    

";"No.  You can bring an original proof of insurance card to the court at any time before your court date.  However, you must pay the fine on any other violation (other than the proof of insurance) at the same time you show the proof of insurance if you are pleading guilty to any other violation."
"Reno Justice Court";"Citations";"My citation is for \"no driver`s license in possession\" I have a valid driver`s license but I didn`t have it with me when I was stopped. Do I have to wait until my court date to show my valid driver`s license? ";"No. You can bring your valid driver`s license to the court at any time before your court date. However, there is a $30.00 processing fee for failing to have the proper documents in the vehicle to present to the officer."
"Reno Justice Court";"Citations";"I live in California and have traffic court this afternoon, however the roads are closed due to a snowstorm.  Can I get a continuance on my court date?   ";"Continuances may be granted depending upon individual circumstances, however, you will need to contact the court to make arrangements.  DO NOT ASSUME THE COURT IS CLOSED DUE TO WEATHER CONDITIONS.  Most citations are issued approximately 4 weeks before the court date which is sufficient time to make arrangements to be present in court on your scheduled court date.  If you wish to just pay your fine, you have a 15 day grace period from your court date to pay the fine in full without appearing before a Judge."
"Reno Justice Court";"Citations";"What if I plead \"not guilty\"?  

";"If you are not in custody, you will be required to attend a pre-trial conference with a Deputy District Attorney to determine whether your citation can be dealt with without going to trial.  If the citation is not dealt with at the pre-trial conference, a verified citation trial date will be set and you will be required to appear for verified citation trial on that date.  If you are in custody, you will not attend a pre-trial conference and the case will be immediately set for trial."
"Reno Justice Court";"Citations";"What if I disagree with the decision that the Judge makes in my case after trial?  ";"You may appeal the decision to the Second Judicial District Court."
"Reno Justice Court";"Citations";"I was cited for no proof of insurance how do I get the citation dismissed?";"If in fact you were insured at the time the violation occurred and can present a valid insurance identification card to the Court the violation will be dismissed. However, there is a $30.00 processing fee for failing to have the proper documents in the vehicle to present to the officer.  This is also the case with other forms of documentation such as registration and license.
"
"Reno Justice Court";"Civil Actions";"I received a Summons and Complaint. How do I know how long I have to file an answer/response? ";"There is a date on the Summons located under the attorney`s name and address.  This is the date the Summons was issued.  It is NOT when your response time begins.  You have 20 days FROM THE DATE YOU WERE SERVED to file an answer/response with the  Court.  The 20 days excludes the date of service but includes weekends and holidays.  If you receive an Order Shortening Time to respond to your Summons you MUST file your answer/response within that time frame."
"Reno Justice Court";"Civil Actions";"Is there a fee to file an answer/response?   ";"Yes.  The fee is specified on the Summons and is set by state statute."
"Reno Justice Court";"Civil Actions";"There is no trial date on my Summons.  When do I need to appear?  ";"If you don`t receive another document with a court date on it along with the Summons and Complaint, you MUST file an answer/response to the Summons and Complaint which will then cause the plaintiff to set the matter for trial and notify you of the court date (at the address you put on your answer/response)."
"Reno Justice Court";"Civil Actions";"Do I have to have an attorney?  ";"Except as to corporations, no.  The Court has forms to file your Answer/Response to the Complaint if you don`t have an attorney at the time you are served.  You are not required to obtain an attorney; however, the plaintiff will probably have an attorney.  This is a more formal type of case and you will be required to follow the Justice Court Rules of Civil Procedure throughout the case.  It would be wise to at least consult with an attorney."
"Reno Justice Court";"Civil Actions";"There are other defendants named in the Complaint.  Can I answer for all of us?  ";"No.  One Answer/Response can be filed if all the details are exactly the same; however, all parties must individually sign their Answer/Response."
"Reno Justice Court";"Civil Actions";"What if I disagree with the decision that the Judge makes in my case?  ";"You may appeal the decision to the Second Judicial District Court."
"Reno Justice Court";"Criminal - Agenda";"I have been arraigned and my trial/preliminary examination is set.  What do I do now? ";"On the date of your trial/preliminary examination you do not need to appear at the arraignment counter of the Criminal Division. Go to the second floor of Reno Justice Court and check with the bailiffs. They will tell you where to wait, in which courtroom your trial/preliminary examination will be heard and if your attorney has checked in with them."
"Reno Justice Court";"Criminal - Agenda";"How early before my trial/preliminary examination should I appear? ";"You should appear at least one-half (1/2) hour before your scheduled court appearance. Your attorney will want to meet with you prior to your appearance."
"Reno Justice Court";"Criminal - Arraignments";"What days and time are criminal arraignments held and how early should I be at the court before the arraignment? ";"Arraignments are scheduled Monday through Friday at 10:00 a.m., HOWEVER, you must appear no later than 9:30 a.m. at the arraignment counter of the Criminal Division to check in with the clerk. If you do not check in at the arraignment counter and go directly to the courtroom, the necessary paperwork will not be available to the judge and your arraignment will have to be re-scheduled on another date."
"Reno Justice Court";"Criminal - Arraignments";"I was told I have to be arraigned. What does that mean?
";" An arraignment is your initial appearance before the judge. You will receive a copy of the criminal complaint which will indicate the charges made against you, you will be advised of your constitutional rights, a determination will be made as to whether you should apply for a public defender and the Court will ascertain if your name is correctly spelled on the criminal complaint. If the charges are \"misdemeanors\", you have a right to plead \"guilty\", \"no contest\" or \"not guilty\". If you plead \"guilty\" or \"no contest\" to the misdemeanor charges (except if the charge is either DUI or Domestic Battery) you will be sentenced during the arraignment. Because the penalties are more severe if the charge is either a DUI or Domestic Battery a Deputy District Attorney must also be present and an alcohol evaluation may be required before sentencing.  For these reasons, sentencing may be continued to another date. If you plead \"not guilty\" a trial date is set within SIXTY (60) days of the arraignment date.

If the charge is a felony or gross misdemeanor, you cannot plead \"guilty\" at arraignment, instead a preliminary examination will be set within FIFTEEN (15) days thereafter."
"Reno Justice Court";"Criminal - Arraignments";"I can`t afford an attorney, what do I do? ";"If you cannot afford an attorney a court services officer will interview you after the arraignment to determine whether you qualify for a public defender."
"Reno Justice Court";"Criminal - Arraignments";"I can`t come to my arraignment on the date given to me when I was released from jail.  Can I come another time?  

";"Yes, if you have not had any other continuance in your case, but you MUST contact the Criminal Division. A criminal clerk will make the determination as to whether you qualify for a continuance.  If you do, a continuance of up to TWO (2) weeks may be granted."
"Reno Justice Court";"Criminal - Arraignments";"I already have an attorney.  Do I have to appear for my arraignment?";"If your attorney has signed an Affidavit of Consent to Represent and a Misdemeanor and/or Felony Waiver of Arraignment, you do not have to appear for arraignment. The Court will process the paperwork and set the pre-trial, trial and/or Preliminary Examination with your attorney. "
"Reno Justice Court";"Criminal - Partial Payments";"I can`t make my next payment or complete my community service on time.  What do I do? ";"You must contact the Partial Payment Department at (775) 325-6504 prior to the payment date or community service completion date and speak with a clerk to determine the status of your payments or community service."
"Reno Justice Court";"Criminal - Partial Payments";"It is snowing and I can`t get to the courthouse. Do I have to pay every payment at the Court in person? ";"No.  You can mail a cashier`s check or money order to the Court to make your payment. DO NOT MAIL CASH. Be sure it is postmarked on or before the payment due date. Be sure to include your name and case number. The name and case number MUST BE LEGIBLE. You may send the payment to Reno Justice Court, P.O. Box 30083, Reno, NV  89520-3083."
"Reno Justice Court";"Criminal - Partial Payments";"I just moved, do I need to notify the Court? ";"Yes.  You must notify the Court of your current address and phone number."
"Reno Justice Court";"Criminal - Partial Payments";"Can someone else make a payment for me? ";"Yes.  However, they must provide the Court with the correct spelling of your name. It is extremely helpful to the Court if you provide the person making the payment with case number and case type. The more information provided by that person the faster the Court can help with the payment being made."
"Reno Justice Court";"Criminal - Partial Payments";"I was sentenced to do Community Service.  Where can I do this? ";"You can either complete the community service through the Washoe County Sheriff`s Community Work Program or a non-profit organization depending upon specific sentencing instructions from the judge. You need to contact the Partial Payment Department to sign up for community service."
"Reno Justice Court";"Criminal - Partial Payments";"I don`t live in the Reno/Sparks area and I was sentenced to do Community Service. How can I do this in my hometown? 

";"You must sign up with the Court in Reno to obtain the proper paperwork and then take your paperwork to any non-profit organization where you reside.   The organization MUST notify the Court within TEN (10) days of your enrollment that you are signed up for community service.  The organization must also notify the Court in writing of either your completion or failure to complete the community service."
"Reno Justice Court";"Criminal - Partial Payments";"I didn`t make my payment or complete my community service and a bench warrant has issued for my arrest. What should I do now? ";"You can either come to the Court Monday - Friday at 9:30 a.m. and check in with the Partial Payment Department to appear before the judge in Criminal Arraignments or go to the Washoe County Detention Facility at 911 Parr Boulevard, Reno, Nevada and turn yourself in to be booked on the warrant."
"Reno Justice Court";"Criminal - Stalking Harassment";"What exactly does \"Stalking and Harassment\" mean? ";"A person who needs a \"Stalking and Harassment\" order must to show a consistent pattern of events over a period of time involving a non-family member who is stalking or harassing them."
"Reno Justice Court";"Criminal - Stalking Harassment";"What do you mean by \"non-family\" member? ";"Stalking and Harassment Orders are non-domestic which means the people involved cannot be husbands, wives, girlfriends, boyfriends, significant others or anyone with whom you have had a domestic or intimate  relationship. They cannot be issued if the respondent is less than 18 years old."
"Reno Justice Court";"Criminal - Stalking Harassment";"My situation involves a \"family\" member.  Who can help me with this type of problem? 

";"The Second Judicial District Family Court handles all domestic issues. The Court is located on the third floor in the same building as Reno Justice Court. The phone number is (775) 325- 6726."
"Reno Justice Court";"Criminal - Stalking Harassment";"A person has been \"stalking and harassing\" me.  What do I do now? ";"The stalking and harassing incidents must have occurred in Reno Township for the Court to consider your case. You may come to the Court and fill out the paperwork for a Stalking and Harassment Petition."
"Reno Justice Court";"Criminal - Stalking Harassment";"I completed the paperwork for a Stalking and Harassment Petition.   What happens next? 

";"The petition will be reviewed by a judge and a decision will be made as to whether to grant it. The Court will contact you to inform you of the judge`s decision. If the petition is granted, an order is signed by the judge and a court date is set for a hearing on the merits of the petition. The purpose of the hearing is to determine if the order should be extended for a one year period."
"Reno Justice Court";"Criminal - Stalking Harassment";"I have an order (either temporary or extended) and the respondent has violated it. What do I do? ";"Contact the local law enforcement agency and inform them of the circumstances and situation. They will REQUIRE a copy of the order as proof before any other action is taken. ALWAYS CARRY YOUR ORDER WITH YOU. If the respondent has truly violated the order, the agency will make a report of the violation of the order and submit it to the Washoe County District Attorney`s Office for review. A criminal complaint MAY or MAY NOT be issued thereafter."
"Reno Justice Court";"Evictions - Landlord";"Where do I get the form for an eviction notice for nonpayment of rent?  ";"You can obtain an eviction notice for nonpayment of rent from the Court if you are using it for property that is located in Reno Township. Reno Township includes all of Washoe County except for Sparks, Sun Valley, Palomino Valley, Wadsworth, Gerlach, Incline Village and Verdi.  You may also obtain eviction information and forms from the Nevada Supreme Court website <a href=\"http://nvsupremecourt.us/documents/\" target=_blank>http://nvsupremecourt.us/documents/</a>"
"Reno Justice Court";"Evictions - Landlord";"Can I serve an eviction notice myself?  ";"Yes, but you must personally serve the eviction notice on a party at the tenant`s residence and you must bring a witness with you."
"Reno Justice Court";"Evictions - Landlord";"Can a family member, such as my spouse, be the witness?  ";"Yes."
"Reno Justice Court";"Evictions - Landlord";"Do I have to have my signature notarized on the service paper?  ";"No. The clerks in the Civil Division can witness your signature and sign instead of having your signature notarized."
"Reno Justice Court";"Evictions - Landlord";"Can I reproduce the eviction forms at home or prepare them on my computer?  ";"Yes, as long as the language is exactly the same on your reproduction as it is on the court forms."
"Reno Justice Court";"Evictions - Landlord";"If I have a process server file and serve my eviction, can that person come to the court hearing if there is one?  

";"Yes, but they cannot represent you on your case.  Only someone who can represent your case and sign as the landlord/agent on the affidavit of landlord can appear at the hearing on an eviction; e.g., a property manager."
"Reno Justice Court";"Evictions - Landlord";"Can I post and mail my eviction by Certificate of Mailing?  ";"Yes.  The judges request that landlords mail the eviction by \"Certificate of Mailing\".  This requires filling out a very small form at the Post Office. The fee for a Certificate of Mailing is minimal compared to Certified Mail."
"Reno Justice Court";"Evictions - Landlord";"How do I get a lockout order?  ";"Refer to the instructions on the type of eviction you have served to see if you qualify to have a lockout order issued. If you do, come to the Court with all the correct paperwork. The clerk will make sure the tenant has not filed an affidavit of tenant and will issue the lockout order. There is a fee of $55.00. You will receive a copy of your file-stamped affidavit of landlord, take it to the Washoe County Sheriff`s Office Civil Division Substation, located at 195 South Sierra (on the corner of Sierra and Court) OR the Washoe County Sheriff`s Office Civil Division, located at 911 Parr Boulevard and pay the fee to serve the lockout order. If you have any questions, call the Court at (775-325-6501)."
"Reno Justice Court";"Evictions - Landlord";"What if the tenant leaves personal property after vacating?  ";"You are responsible for safeguarding a tenant`s personal property for (not to exceed) THIRTY (30) days.  During that period, it would be to your advantage to allow the tenant to remove the property if you can make arrangements to do so in a reasonable amount of time. If the tenant cannot be reached, you must mail a certified letter to his last known address and inform him that he has (THIRTY) 30 days from the day after he was locked out to pick up his property or it will be disposed of after that date.  The tenant may also be charged the costs you incur in inventorying, moving and storing his property.   If those costs are not paid, you DO NOT have to release his property.  However, YOU CANNOT HOLD A TENANT`S PROPERTY IF HE FAILS TO PAY THE RENT. The rent debt after the lockout is a separate action which can be pursued through Small Claims."
"Reno Justice Court";"Evictions - Landlord";"Do I have a judgment when an eviction results in a lockout order?  ";"No. A lockout order is simply an eviction procedure. It is not a judgment. You cannot start attaching wages by simply getting a lockout order. If you want to pursue collection of the rent, you must file a  separate action, go to Court and be awarded a judgment before you may start attaching wages."
"Reno Justice Court";"Evictions - Landlord";"Does it really only take 30 days to get someone evicted on a 30 day notice?  ";"No.  If the tenant does not move within the THIRTY (30) days of receiving a 30/7 day no cause notice, you must obtain an unlawful detainer eviction notice. The waiting period for the court date on the unlawful detainer is approximately 10 days after you file the notice."
"Reno Justice Court";"Evictions - Landlord";"What if the tenant wants to pay the rent after I have had a lockout order issued?   ";"You do not have to accept the rent after a lockout order has been issued.  If you accept the tenant`s rent, call the Washoe County Sheriff and verbally cancel the eviction.  Contact the Sheriff at (775) 328-6544 to find out if you qualify to receive a refund. The Court cannot refund your $6.00 lockout fee after the lockout order was issued."
"Reno Justice Court";"Evictions - Tenant";"How do I contest an eviction?  ";"If you have received an eviction notice for nonpayment of rent, come to the Court within the time period stated on the eviction notice to file an affidavit of tenant. The filing fee is $33.00 CASH ONLY.  If you cannot afford to pay the fee, there are In Forma Pauperis forms available to fill out and submit to the judge. The judge will either grant or deny the motion to proceed In Forma Pauperis."
"Reno Justice Court";"Evictions - Tenant";"What do I do if I`ve been served with a lockout order but never got served with the eviction notice?  ";"You can file a pleading called a \"motion to stay or vacate eviction order\". This motion is submitted to the judge.  If the judge grants the stay, the landlord may be required to let you back in and a hearing would be set. If the judge denies the motion you will not be allowed back into the unit."
"Reno Justice Court";"Evictions - Tenant";"What if I don`t agree with the judge or the landlord about the results of the eviction hearing and I think what happened is unfair?  ";"You can file an appeal. Contact either Washoe Legal Services at (775) 329-2727 or hire an attorney to file a Notice of Appeal.  (See Eviction Costs)."
"Reno Justice Court";"Evictions - Tenant";"What if I file bankruptcy? Will it stop the eviction process?  ";"This depends upon the type of bankruptcy filed. Contact the Bankruptcy Court at (775) 784-5559 between 10:00 a.m. to 2:00 p.m. to find out precisely what is required to stop the eviction.  You should also notify your attorney that you are being evicted."
"Reno Justice Court";"Evictions - Tenant";"Can I be served with more than one eviction notice?  ";"Yes.  It is possible to be served with a 30 day no cause notice AND a non payment of rent notice OR ALL of our eviction notices at the same time.  If that happens, each notice MUST be dealt with separately.  If one eviction is denied by the Court, IT DOES NOT MEAN THAT ALL EVICTIONS ARE DENIED BY THE COURT."
"Reno Justice Court";"Justice of the Peace";"Is it possible to speak privately with the judge about my case?   ";"No.  The judge can only speak with you about your case if all parties are present.  To speak with the judge, you or your attorney must make a request in writing to the judge to do so.  You must also provide a copy of your written request to all other parties or their attorneys.  When you submit your request, you must specify your case number so that the clerk can place your request in the Court`s file and provide the file to the judge for review."
"Reno Justice Court";"Justice of the Peace";"Who determines which Justice of the Peace will hear my case?  ";"All cases are randomly assigned by a computer program."
"Reno Justice Court";"Justice of the Peace";"I have filed several cases in the Civil Department and I would like to have the same judge hear all of them at the same time.  Is that possible? ";" No.  All cases are randomly assigned by a computer program."
"Reno Justice Court";"Justice of the Peace";"Why did the judge to whom my case was assigned recuse himself/herself?  

";"Sometimes, to avoid the appearance of bias or prejudice, because of personal knowledge of a case or party, or for other such reasons, the judge may request reassignment of a case to another Justice of the Peace for hearing."
"Reno Justice Court";"Justice of the Peace";"I have a legal question regarding my case.  Can the judge give me legal advice on my case?  ";"No.  The judge must remain \"fair and impartial\" and cannot give you legal advice on your case.  If you need legal advice you should contact an attorney or a legal service."
"Reno Justice Court";"Justice of the Peace";"I want my marriage ceremony to be performed by a Justice of the Peace.  Is that possible?  ";"Yes.  A Justice of the Peace may perform marriages.  However, by law there is a limit to the number of marriages a Justice of the Peace can perform each year.  Washoe County also has a Commissioner of Civil Marriages.  There is no limit to the number of marriages that the Commissioner may perform each year.  The office of the Commissioner of Civil Marriages is located at 350 South Center Street, Suite 100
Reno, NV 89520 and the telephone number is (775) 337-4575.  

Marriage Licenses can be obtained at the Washoe County Clerk`s Office located at 75 Court Street, Reno, NV 89501, Room 131. http://www.co.washoe.nv.us/clerks/locations.php"
"Reno Justice Court";"Justice of the Peace";"How much will I have to pay if I plead guilty or I am found guilty of a misdemeanor offense in Reno Justice Court?  ";"Normally the amount of the fine imposed by the judge is the amount indicated as bail in the criminal complaint.  If the complaint is a citation, the bail is indicated at the bottom of the citation.  If the complaint is other than a citation, the bail is indicated on the last page at the end of the complaint.  HOWEVER, the fine imposed by the judge may be less or more than the amount indicated in the criminal complaint.  The judge may impose a fine of up to $1,000.00 for EACH offense described in the complaint.  The judge may also sentence you to up to SIX (6) MONTHS in the Washoe County Detention Facility for EACH offense described in the complaint, although that does not occur in the normal case."
"Reno Justice Court";"Small Claims";"Do I have to answer the Small Claims Affidavit and Order?  ";"No, you can just appear in court on the scheduled date and time."
"Reno Justice Court";"Small Claims";"What if I want to file a claim against the plaintiff or a third-party?  

";"If you wish to file a claim against the plaintiff (counter-claim) or a claim against a third party (cross-claim) in the case in which you are named as a defendant you must follow the same procedure that a plaintiff must follow for filing a claim."
"Reno Justice Court";"Small Claims";"I know I owe the money.  Can I just pay the plaintiff?  ";"Yes, you can meet the plaintiff at Reno Justice Court or any other location on or before the court date and do so."
"Reno Justice Court";"Small Claims";"I know I owe the money, but I can`t pay it all at one time.  What can I do? 

";" You can contact the plaintiff and sign a form called a \"Stipulation\", which will indicate how much principal you owe plus court costs and what your weekly/monthly payments would be and when. Most collection agencies have this form in their office and will fill it out while you are there. Both you and the plaintiff must sign the stipulation.   Afterward, the plaintiff may bring the stipulation to the Court for the judge to sign. As long as you adhere to the terms of the stipulation, the plaintiff will not attempt to collect on the full amount of the judgment.   If you do not adhere to the terms of the stipulation, the plaintiff may do whatever is necessary to collect on the full amount of the judgment."
"Reno Justice Court";"Small Claims";"What if I have paperwork to show to the judge to defend or prove my case?  ";"You need to bring the originals and two copies of all documents (one for you and one for the plaintiff) to court. The originals remain with the Court."
"Reno Justice Court";"Small Claims";"If the plaintiff has sued the wrong person and another person is involved, what should I do?  

";"If you are simply the wrong person, with perhaps the same name as the defendant, you should write a letter to the judge who is assigned to hear your case and explain the situation.  The judge will decide what should be done. You should also send a copy of the letter to the plaintiff. If you think another person is responsible for the debt, you may file a cross-claim to bring that person to Court as a third-party in the Small Claim case. The filing fee for a cross-claim is $33.00 and the third-party must be served at least 10 days before the hearing."
"Reno Justice Court";"Small Claims";"What if I don`t agree with the judge`s decision in my Small Claims case?  ";"You can file an appeal. Appeal fees total $525.00. (See Small Claims Costs) If the judgment is against you and you are appealing, you may also want to file a Supersedeas Bond for the total of the judgment including court costs so the other side cannot attempt to collect the judgment while the appeal process is taking place."
"Reno Justice Court";"Small Claims";"What should I do if I want to sue somebody for more than $5,000.00 (more than the Small Claims limit)?  

";"The Small Claims limit is $5,000.00. If you want to sue for more than that amount, you need to file your claim as a Civil Action. You may consult an attorney to file a Summons and Complaint for you or you may reduce the amount to $5,000.00 and do it yourself in Small Claims. The Court does not have forms for filing Complaints."
"Reno Justice Court";"Small Claims";"What happens if the defendant files for bankruptcy before we go to Court?  ";"You should contact the Bankruptcy Court to find out exactly what kind of bankruptcy the defendant is filing and what it means to your Small Claims case. The phone number for Bankruptcy Court in Reno is (775) 784-5559 from 10:00 a.m. to 2:00 p.m. Monday through Friday."
"Reno Justice Court";"Small Claims";"Can I start attaching the defendant`s wages in Reno if I have a Small Claims judgment from a different state?  ";"No. You must either re-file the Small Claim and use your foreign judgment as an exhibit to the Small Claim and obtain another judgment from our court or you can file the foreign judgment in the Second Judicial District Court. You should contact the Second Judicial District Court for instructions at (775) 328-3110."
"Reno Justice Court";"Small Claims";"What do I do if I filed my Small Claim in the wrong court?  

";"You can request a transfer to another court. For example, if it should have been filed in Sparks Justice Court, you can either write a letter to the judge assigned to your case requesting a transfer or you can file a Motion for Transfer and submit a proposed Order for Transfer. Reno Justice Court does not have forms for either the Motion for Transfer or the Order for Transfer."
"Reno Justice Court";"Small Claims";"How do I get a judgment removed from my credit report?  

";"You can call the Court at (775) 325-6501 and ask whether or not a Satisfaction of Judgment was filed or not. If a Satisfaction of Judgment was not filed, you must pay the plaintiff in full and they will be required to file a Satisfaction of Judgment. Once the Satisfaction of Judgment is filed, you may request a certified copy of it from the Court and mail it to the credit bureau as proof of payment."
"Reno Justice Court";"Small Claims";"How do I collect on my judgment?  

";"There are several options to collecting on a judgment: 1)You can have an execution issued to attach wages, a cash drawer, a bank account or vehicle; 2) You can obtain an Order for Supplementary Proceedings (where you would be permitted to ask the defendant questions about their assets, e.g., Where do you bank? Where do you work? What`s your social security number? What`s your date of birth?, etc.) You can then use this information to file an execution; 3)You can have an Abstract of Judgment issued and record it at the Washoe County Recorder`s office. The Abstract of Judgment will enable you to collect on the judgment when the defendant sells a piece of real estate since any liens must be satisfied before the defendant can sell the property. (See Small Claims Costs)."
"Reno Justice Court";"Small Claims";"Do I get a copy of the judgment after court?  ";"You do not AUTOMATICALLY get a copy of the judgment after court. You must request it and one will be sent to you."
"Reno Justice Court";"Small Claims";"What do I do if I sued for the wrong amount or sued the wrong person?  ";"In that case, you must amend the Small Claim. You should make sure that your court date is at least 10 days away. If not, you should request a continuance.  If you are either amending a name or amount, you need to explain this to the clerk and provide the clerk with the case number and court date. The clerk will prepare an amended complaint for you to sign and serve with the new information."
